municipio_112cv,id_zona_previfoc,icv_cod_ine_mun,icv_nom_mun,icv_nom_mun_cas,icv_nom_mun_val,icv_noms_mun,match_method,match_fields,alias_reason,review_status,review_categories,review_note
Quart de les Valls,57,46101,Quart de les Valls,Quart de les Valls,Quart de les Valls,Quart de les Valls,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Quart de Poblet,56,46102,Quart de Poblet,Quart de Poblet,Quart de Poblet,Quart de Poblet,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Quartell,57,46103,Quartell,Quartell,Quartell,Quartell,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Quatretonda,58,46104,Quatretonda,Quatretonda,Quatretonda,Quatretonda,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Quatretondeta,58,03060,Quatretondeta,Quatretondeta,Quatretondeta,Quatretondeta,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Quesa,56,46206,Quesa,Quesa,Quesa,Quesa,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Rafal,59,03109,Rafal,Rafal,Rafal,Rafal,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Rafelbunyol,57,46207,Rafelbunyol,Rafelbunyol,Rafelbunyol,Rafelbunyol,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Rafelcofer,58,46208,Rafelcofer,Rafelcofer,Rafelcofer,Rafelcofer,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Rafelguaraf,58,46209,Rafelguaraf,Rafelguaraf,Rafelguaraf,Rafelguaraf,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Real,56,46212,Real,Real,Real,Real,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Real de Gandia, el",58,46211,el Real de Gandia,el Real de Gandia,el Real de Gandia,el Real de Gandia,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Redován,59,03111,Redován,Redován,Redován,Redován,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Relleu,58,03112,Relleu,Relleu,Relleu,Relleu,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Requena,56,46213,Requena,Requena,Requena,Requena,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Riba-roja de Túria,56,46214,Riba-roja de Túria,Riba-roja de Túria,Riba-roja de Túria,Riba-roja de Túria,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Ribesalbes,54,12095,Ribesalbes,Ribesalbes,Ribesalbes,Ribesalbes,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Riola,57,46215,Riola,Riola,Riola,Riola,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Rocafort,57,46216,Rocafort,Rocafort,Rocafort,Rocafort,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Rojales,59,03113,Rojales,Rojales,Rojales,Rojales,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Romana, la",59,03114,la Romana,la Romana,la Romana,la Romana,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Rossell,53,12096,Rossell,Rossell,Rossell,Rossell,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Rotglà i Corberà,58,46217,Rotglà i Corberà,Rotglà i Corberà,Rotglà i Corberà,Rotglà i Corberà,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Rugat,58,46219,Rugat,Rugat,Rugat,Rugat,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Ràfol d'Almúnia, el",58,03110,el Ràfol d'Almúnia,el Ràfol d'Almúnia,el Ràfol d'Almúnia,el Ràfol d'Almúnia,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Ráfol de Salem,58,46210,Ráfol de Salem,Ráfol de Salem,Ráfol de Salem,Ráfol de Salem,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Ròtova,58,46218,Ròtova,Ròtova,Ròtova,Ròtova,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sacañet,54,12097,Sacañet,Sacañet,Sacañet,Sacañet,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sagra,58,03115,Sagra,Sagra,Sagra,Sagra,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sagunt/Sagunto,57,46220,Sagunt,Sagunto,Sagunt,Sagunt/Sagunto,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Salem,58,46221,Salem,Salem,Salem,Salem,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Salinas,58,03116,Salinas,Salinas,Salinas,Salinas,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Salzadella, la",55,12098,la Salzadella,la Salzadella,la Salzadella,la Salzadella,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
San Antonio de Benagéber,56,46903,San Antonio de Benagéber,San Antonio de Benagéber,San Antonio de Benagéber,San Antonio de Benagéber,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
San Fulgencio,59,03118,San Fulgencio,San Fulgencio,San Fulgencio,San Fulgencio,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
San Isidro,59,03904,San Isidro,San Isidro,San Isidro,San Isidro,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
San Miguel de Salinas,59,03120,San Miguel de Salinas,San Miguel de Salinas,San Miguel de Salinas,San Miguel de Salinas,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
San Rafael del Río,55,12101,San Rafael del Río,San Rafael del Río,San Rafael del Río,San Rafael del Río,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sanet y Negrals,58,03117,Sanet y Negrals,Sanet y Negrals,Sanet y Negrals,Sanet y Negrals,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sant Joan d'Alacant,59,03119,Sant Joan d'Alacant,Sant Joan d'Alacant,Sant Joan d'Alacant,Sant Joan d'Alacant,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sant Joan de Moró,55,12902,Sant Joan de Moró,Sant Joan de Moró,Sant Joan de Moró,Sant Joan de Moró,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sant Joanet,58,46222,Sant Joanet,Sant Joanet,Sant Joanet,Sant Joanet,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sant Jordi/San Jorge,55,12099,Sant Jordi,Sant Jordi,San Jorge,Sant Jordi/San Jorge,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Sant Mateu,55,12100,Sant Mateu,Sant Mateu,Sant Mateu,Sant Mateu,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Sant Vicent del Raspeig/San Vicente del Raspeig,59,03122,Sant Vicent del Raspeig,San Vicente del Raspeig,Sant Vicent del Raspeig,Sant Vicent del Raspeig/San Vicente del Raspeig,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Santa Magdalena de Pulpis,55,12102,Santa Magdalena de Pulpis,Santa Magdalena de Pulpis,Santa Magdalena de Pulpis,Santa Magdalena de Pulpis,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
