municipio_112cv,id_zona_previfoc,icv_cod_ine_mun,icv_nom_mun,icv_nom_mun_cas,icv_nom_mun_val,icv_noms_mun,match_method,match_fields,alias_reason,review_status,review_categories,review_note
Torres Torres,56,46245,Torres Torres,Torres Torres,Torres Torres,Torres Torres,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Torrevieja,59,03133,Torrevieja,Torrevieja,Torrevieja,Torrevieja,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Torás,54,12114,Torás,Torás,Torás,Torás,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Tous,56,46246,Tous,Tous,Tous,Tous,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Traiguera,55,12121,Traiguera,Traiguera,Traiguera,Traiguera,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Turís,56,46248,Turís,Turís,Turís,Turís,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Tuéjar,56,46247,Tuéjar,Tuéjar,Tuéjar,Tuéjar,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Tàrbena,58,03127,Tàrbena,Tàrbena,Tàrbena,Tàrbena,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Tírig,53,12111,Tírig,Tírig,Tírig,Tírig,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Useres, les/Useras",54,12122,les Useres,Useras,les Useres,les Useres/Useras,alias,alias_file,El 112CV pospone el artículo valenciano; el ICV lo antepone en la forma bilingüe.,reviewed,bilingual;postposed_article;alias,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
Utiel,56,46249,Utiel,Utiel,Utiel,Utiel,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vall d'Alba,55,12124,Vall d'Alba,Vall d'Alba,Vall d'Alba,Vall d'Alba,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Vall d'Alcalà, la",58,03134,la Vall d'Alcalà,la Vall d'Alcalà,la Vall d'Alcalà,la Vall d'Alcalà,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Vall d'Ebo, la",58,03135,la Vall d'Ebo,la Vall d'Ebo,la Vall d'Ebo,la Vall d'Ebo,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Vall d'Uixó, la",55,12126,la Vall d'Uixó,la Vall d'Uixó,la Vall d'Uixó,la Vall d'Uixó,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Vall de Almonacid,54,12125,Vall de Almonacid,Vall de Almonacid,Vall de Almonacid,Vall de Almonacid,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Vall de Gallinera, la",58,03136,la Vall de Gallinera,la Vall de Gallinera,la Vall de Gallinera,la Vall de Gallinera,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Vall de Laguar, la",58,03137,la Vall de Laguar,la Vall de Laguar,la Vall de Laguar,la Vall de Laguar,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Vallada,58,46251,Vallada,Vallada,Vallada,Vallada,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vallanca,56,46252,Vallanca,Vallanca,Vallanca,Vallanca,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vallat,54,12123,Vallat,Vallat,Vallat,Vallat,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vallibona,53,12127,Vallibona,Vallibona,Vallibona,Vallibona,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vallés,58,46253,Vallés,Vallés,Vallés,Vallés,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
València,57,46250,València,València,València,València,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,reviewed,required_sample,Muestra mínima contrastada con la fila ICV y el código oficial.
Venta del Moro,56,46254,Venta del Moro,Venta del Moro,Venta del Moro,Venta del Moro,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Verger, el",58,03138,el Verger,el Verger,el Verger,el Verger,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
"Vila Joiosa, la/Villajoyosa",59,03139,la Vila Joiosa,Villajoyosa,la Vila Joiosa,la Vila Joiosa/Villajoyosa,alias,alias_file,El 112CV pospone el artículo valenciano; el ICV lo antepone en la forma bilingüe.,reviewed,bilingual;postposed_article;alias,Excepción contrastada con el código y las variantes ICV; motivo detallado en municipality_aliases.json.
Vila-real,55,12135,Vila-real,Vila-real,Vila-real,Vila-real,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vilafamés,55,12128,Vilafamés,Vilafamés,Vilafamés,Vilafamés,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vilafranca/Villafranca del Cid,53,12129,Vilafranca,Villafranca del Cid,Vilafranca,Vilafranca/Villafranca del Cid,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Vilallonga/Villalonga,58,46255,Vilallonga,Villalonga,Vilallonga,Vilallonga/Villalonga,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Vilamarxant,56,46256,Vilamarxant,Vilamarxant,Vilamarxant,Vilamarxant,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vilanova d'Alcolea,55,12132,Vilanova d'Alcolea,Vilanova d'Alcolea,Vilanova d'Alcolea,Vilanova d'Alcolea,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vilar de Canes,53,12134,Vilar de Canes,Vilar de Canes,Vilar de Canes,Vilar de Canes,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Vilavella, la",55,12136,la Vilavella,la Vilavella,la Vilavella,la Vilavella,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Villahermosa del Río,54,12130,Villahermosa del Río,Villahermosa del Río,Villahermosa del Río,Villahermosa del Río,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Villamalur,54,12131,Villamalur,Villamalur,Villamalur,Villamalur,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Villanueva de Viver,54,12133,Villanueva de Viver,Villanueva de Viver,Villanueva de Viver,Villanueva de Viver,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Villar del Arzobispo,56,46258,Villar del Arzobispo,Villar del Arzobispo,Villar del Arzobispo,Villar del Arzobispo,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Villargordo del Cabriel,56,46259,Villargordo del Cabriel,Villargordo del Cabriel,Villargordo del Cabriel,Villargordo del Cabriel,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Villena,58,03140,Villena,Villena,Villena,Villena,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Villores,53,12137,Villores,Villores,Villores,Villores,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vinalesa,57,46260,Vinalesa,Vinalesa,Vinalesa,Vinalesa,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vinaròs,55,12138,Vinaròs,Vinaròs,Vinaròs,Vinaròs,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Vistabella del Maestrat,54,12139,Vistabella del Maestrat,Vistabella del Maestrat,Vistabella del Maestrat,Vistabella del Maestrat,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Viver,54,12140,Viver,Viver,Viver,Viver,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Xaló,58,03081,Xaló,Xaló,Xaló,Xaló,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Xeraco,58,46143,Xeraco,Xeraco,Xeraco,Xeraco,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Xeresa,58,46146,Xeresa,Xeresa,Xeresa,Xeresa,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Xert,53,12052,Xert,Xert,Xert,Xert,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Xirivella,57,46110,Xirivella,Xirivella,Xirivella,Xirivella,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Xixona/Jijona,58,03083,Xixona,Jijona,Xixona,Xixona/Jijona,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Xodos/Chodos,54,12055,Xodos,Chodos,Xodos,Xodos/Chodos,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Xàbia/Jávea,58,03082,Xàbia,Jávea,Xàbia,Xàbia/Jávea,exact_variant,noms_mun,,reviewed,bilingual,Ambas formas lingüísticas se contrastaron con noms_mun y las variantes ICV.
Xàtiva,58,46145,Xàtiva,Xàtiva,Xàtiva,Xàtiva,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Yesa, La",56,46262,La Yesa,La Yesa,La Yesa,La Yesa,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
Yátova,56,46261,Yátova,Yátova,Yátova,Yátova,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Zarra,56,46263,Zarra,Zarra,Zarra,Zarra,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Zorita del Maestrazgo,53,12141,Zorita del Maestrazgo,Zorita del Maestrazgo,Zorita del Maestrazgo,Zorita del Maestrazgo,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
Zucaina,54,12142,Zucaina,Zucaina,Zucaina,Zucaina,exact_primary,nom_mun;nom_mun_cas;nom_mun_cas_a;nom_mun_val;nom_mun_val_a;noms_mun,,automatic,,
"Énova, l'",58,46119,l'Énova,l'Énova,l'Énova,l'Énova,exact_variant,nom_mun_cas_a;nom_mun_val_a,,reviewed,postposed_article,El artículo pospuesto se contrastó con la forma principal y las variantes ICV.
